ap_mac,toilet,metro,arenda,riteil,service,club,med,vet,stomat
3420E31780D0,2,2,3,51,80,1,2,4,8
8CFE74212CD0,2,4,2,147,132,3,2,3,8
EC8CA20F1D00,1,2,1,38,43,1,2,3,7
EC8CA213C770,1,2,0,37,48,1,3,3,7
EC8CA2100810,3,0,2,94,35,5,1,1,10
0CF4D52BBB10,2,1,3,46,87,0,1,4,6
0CF4D52C5790,3,1,1,62,58,4,3,3,6
EC8CA215F8F0,2,1,3,39,47,1,2,3,7
EC8CA20F35C0,1,5,3,110,78,4,1,3,11
1CB9C429B930,1,6,1,97,52,2,2,2,5
3420E3178280,1,6,1,95,37,3,2,2,6
1CB9C426C0B0,0,2,1,204,120,7,3,3,8
3420E3175590,0,5,3,93,103,2,2,4,6
EC8CA2139920,1,5,2,69,29,4,1,3,11
EC8CA20E76B0,3,7,2,142,68,10,2,3,9
1CB9C4268800,2,3,2,107,66,2,2,3,8
1CB9C424AF60,4,16,1,149,34,6,2,3,12
441E981414E0,2,4,3,96,43,3,1,3,11
EC8CA22EA5B0,0,5,1,91,57,5,3,2,7
1CB9C429B7E0,1,3,2,115,102,4,2,3,9
EC8CA22EE760,2,3,3,48,80,3,1,1,5
0CF4D52C37D0,1,4,3,92,82,2,1,4,8
184B0D1FB1B0,0,1,3,37,50,5,1,4,9
1CB9C4301E60,1,2,1,38,44,1,2,3,7
0CF4D52C5710,2,3,3,61,69,1,2,3,6
0CF4D52BD410,1,3,1,114,64,6,3,3,7
EC8CA20EFCA0,0,3,2,111,86,7,2,3,8
0CF4D52B9370,2,3,3,80,78,2,2,3,6
0CF4D52C4DE0,2,2,2,38,41,0,1,3,8
0CF4D52D5750,1,6,0,94,37,3,2,3,7
1CB9C429AC20,1,1,1,103,64,4,3,3,6
EC8CA22EBB90,1,1,1,41,44,1,2,3,8
1CB9C426BC50,2,3,2,92,66,2,2,3,8
3420E3179130,1,4,4,81,80,3,1,4,9
0CF4D52C58B0,2,7,3,74,74,6,1,1,10
1CB9C426E340,2,3,2,140,122,4,2,3,8
3420E3178A20,1,5,3,93,86,3,1,4,9
0CF4D52C57B0,3,3,3,61,72,1,2,3,6
1CB9C424E190,2,4,2,103,72,11,2,3,9
1CB9C4250E10,0,2,3,103,90,4,1,3,9
8CFE742160E0,2,0,3,43,35,4,1,2,8
EC8CA20FFCC0,1,1,2,78,36,1,2,0,5
EC8CA2131BF0,1,2,2,78,52,5,2,3,8
EC8CA22EE7A0,1,6,1,130,67,1,3,0,6
EC8CA22EB2B0,1,3,3,73,77,1,1,4,6
0CF4D52C3890,0,2,1,79,45,5,2,3,7
0CF4D52BB840,1,1,0,49,65,1,3,3,7
EC8CA215F6F0,1,2,0,51,29,2,2,3,7
0CF4D52BD000,2,6,3,109,81,5,1,2,11
1CB9C429D740,4,3,2,112,64,2,2,3,8
EC8CA215E970,0,2,1,88,55,6,2,3,8
0CF4D52D1C20,0,2,4,55,102,1,1,5,5
EC8CA22EAB50,1,2,0,58,22,2,2,2,7
EC8CA22EA5A0,1,3,2,126,106,6,2,3,8
0CF4D52BDB40,1,3,2,111,43,1,2,0,5
1CB9C426C660,2,5,2,123,119,4,2,3,8
1CB9C429B6D0,0,4,1,88,61,5,3,2,7
EC8CA20F3FA0,2,6,3,113,71,4,1,2,11
3087D92648F0,2,1,2,41,34,1,1,3,8
