Субъект,Количество_торговля,Выручка_торговля,Прибыль_торговля,Количество_бытовые,Выручка_бытовые,Прибыль_бытовые,Количество_общепит,Выручка_общепит,Прибыль_общепит,Количество_клубы,Выручка_клубы,Прибыль_клубы,Количество_медицина,Выручка_медицина,Прибыль_медицина,Население,На 100 тыс. жителей Всего преступлений,"Доходы от НДФл, млн.р."
Академический,2265,"161,14","5,37",288,"3,15","0,15",161.0,"84,89","4,62",98,"22,96","0,76",158.0,"10,27","1,32",,,
Алексеевский,1946,"128,3","4,59",214,"16,13","1,36",144.0,"18,47","0,87",109,"13,61","1,03",122.0,"30,26","3,71",,,
Алтуфьевский,399,"351,18","9,37",40,"3,88","0,28",24.0,"5,69","0,31",17,"4,53","0,6",23.0,"5,12","0,35",,,
Арбат,1952,"318,38","11,64",359,"6,33","2,52",442.0,"147,16","2,04",189,"5,31","2,31",154.0,"36,09","4,6",36308.0,2396.0,"26319,8"
Аэропорт,1694,"217,76","8,85",198,"10,13","0,96",141.0,"17,4","0,46",169,"50,3","1,49",106.0,"17,03","3,01",79541.0,853.0,"12404,7"
Бабушкинский,2049,"50,54","2,13",158,"27,36","2,44",73.0,"49,46","0,18",77,"4,83","0,42",57.0,"36,41","0,89",,,
Басманный,6542,"274,57","12,41",1020,"4,98","0,71",825.0,"18,07","1,09",546,"18,23","0,92",433.0,"34,81","3,42",110897.0,1970.0,"54576,4"
Беговой,1140,"310,81","9,67",171,"7,39","0,64",162.0,"54,7","0,78",137,"27,63","6,83",101.0,"90,07","8,98",,,
Бескудниковский,491,"66,04","4,96",64,"3,75","0,54",24.0,"22,51","0,44",30,"2,89","0,46",52.0,"8,29","0,89",,,
Бибирево,478,"168,57","2,06",89,"1,32","0,45",53.0,"11,84","0,59",46,"4,27","0,21",56.0,"7,87","1,02",160447.0,,
Богородское,1536,"57,97","2,22",146,4,"4,74",83.0,"7,99","0,43",84,"7,67","0,19",68.0,"15,02","0,6",110137.0,876.0,
Братеево,514,"45,65","1,21",46,"1,52","0,17",23.0,"14,39","0,82",21,"2,42","0,1",38.0,"10,85","0,38",110185.0,580.0,
Бутырский,1558,"130,92","5,27",132,"6,15","0,57",106.0,"11,09","0,62",94,"20,03","0,92",78.0,"19,65","3,85",,,
Вешняки,574,"20,77","0,73",74,"5,21","1,6",34.0,"1,28","0,01",32,"4,82","0,62",28.0,"54,93","0,94",122419.0,1722.0,
Внуково,189,"60,05","1,49",13,"0,04",,28.0,"50,93","1,37",9,"1,78","0,29",4.0,"141,68","75,67",25783.0,912.0,"3431,7"
