ap_mac,lat,lon,address,Количество_торговля_rank,Количество_бытовые_rank,Количество_общепит_rank,Количество_клубы_rank,Количество_медицина_rank,Выручка_торговля_rank,Прибыль_торговля_rank,Выручка_бытовые_rank,Прибыль_бытовые_rank,Выручка_общепит_rank,Прибыль_общепит_rank,Выручка_клубы_rank,Прибыль_клубы_rank,Выручка_медицина_rank,Прибыль_медицина_rank,Население_rank,crime_rank,money_rank,hour_0_rank,hour_1_rank,hour_2_rank,hour_3_rank,hour_4_rank,hour_5_rank,hour_6_rank,hour_7_rank,hour_8_rank,hour_9_rank,hour_10_rank,hour_11_rank,hour_12_rank,hour_13_rank,hour_14_rank,hour_15_rank,hour_16_rank,hour_17_rank,hour_18_rank,hour_19_rank,hour_20_rank,hour_21_rank,hour_22_rank,hour_23_rank,day_1_rank,day_2_rank,day_3_rank,day_4_rank,day_5_rank,day_6_rank,day_7_rank,device_count_rank,device_nunique_rank,device_frec_rank,user_nunique_rank,duration_rank,duration_min_rank,duration_max_rank,toilet_rank,metro_rank,arenda_rank,riteil_rank,service_rank,club_rank,med_rank,vet_rank,stomat_rank,rank
3420E31780D0,55.72114562988281,37.60616302490234,"27 к1, Донская улица, район Якиманка, Москва, Центральный федеральный округ, 111991, Россия",2744.0,3339.0,3334.0,3339.0,2956.0,2554.0,726.0,1987.0,3151.0,2178.0,2373.0,4138.0,1044.0,1250.0,2289.0,4172.0,4111.0,2224.0,440.0,722.0,981.0,982.0,1164.0,1240.5,1350.5,1431.0,1504.0,1420.5,1375.0,1337.0,1275.0,1289.0,1364.0,1142.0,1162.0,1089.5,1235.0,1150.0,1088.0,714.0,679.0,603.0,1313.5,1367.0,1230.0,1274.0,1370.0,1113.5,1159.5,1257.0,1538.0,98.0,1407.0,1501.0,1591.0,1759.0,1300.0,581.0,1503.5,1447.5,669.5,1552.0,636.5,193.0,936.5,1318.4411764705883
8CFE74212CD0,55.73716735839844,37.623783111572266,"34-38, улица Большая Ордынка, район Якиманка, Москва, Центральный федеральный округ, 119017, Россия",2744.0,3339.0,3334.0,3339.0,2956.0,2554.0,726.0,1987.0,3151.0,2178.0,2373.0,4138.0,1044.0,1250.0,2289.0,4172.0,4111.0,2224.0,1485.0,1580.0,1789.0,1766.0,1460.0,1369.0,1634.0,1513.0,1331.5,1391.0,1360.5,1398.0,1504.5,1452.5,1458.0,1547.5,1539.0,1555.0,1624.5,1575.0,1720.0,1554.0,1706.0,1623.5,1539.5,1516.5,1507.0,1473.0,1561.0,1430.0,1501.0,1511.0,1501.0,551.0,1367.0,725.5,937.0,744.0,1300.0,1226.0,892.5,211.0,12.5,1112.0,636.5,890.0,936.5,1349.6764705882354
EC8CA20F1D00,55.72055435180664,37.56686401367188,"28, улица Хамовнический Вал, район Хамовники, Москва, Центральный федеральный округ, 119270, Россия",4599.0,4572.0,4567.0,4572.0,4337.0,3999.0,1243.0,3698.0,550.0,1478.0,1498.0,2855.0,303.0,851.0,286.0,1791.0,2753.0,696.0,1404.5,1694.5,1709.0,1676.0,1102.0,978.5,1100.0,1138.0,1224.0,1125.0,1278.0,1120.0,1164.5,1137.0,1104.0,1081.5,1173.0,998.5,1001.0,945.5,1115.5,1367.0,1586.0,1658.5,1158.0,1166.0,1122.0,1076.5,1141.0,1162.0,1048.0,1130.0,1107.0,766.0,884.5,1039.0,1591.0,1301.0,785.5,581.0,340.0,1654.5,1475.5,1552.0,636.5,890.0,1255.5,1238.6764705882354
EC8CA213C770,55.7214241027832,37.56748580932617,"21, улица Ефремова, Квартал №533, район Хамовники, Москва, Центральный федеральный округ, 119048, Россия",4599.0,4572.0,4567.0,4572.0,4337.0,3999.0,1243.0,3698.0,550.0,1478.0,1498.0,2855.0,303.0,851.0,286.0,1791.0,2753.0,696.0,311.0,178.0,57.0,140.5,403.0,796.5,696.0,638.0,724.0,726.5,907.0,823.0,758.5,809.0,699.0,834.0,811.5,728.5,702.0,634.0,597.0,555.0,419.0,413.0,657.0,527.0,726.0,887.0,806.5,795.5,521.0,695.0,1320.5,40.0,1382.0,101.5,95.0,10.0,785.5,581.0,57.5,1669.5,1344.5,1552.0,93.0,890.0,1255.5,819.3823529411765
EC8CA2100810,55.75021743774414,37.64606475830078,"4 с1, Серебрянический переулок, Таганский район, Москва, Центральный федеральный округ, 109028, Россия",3506.5,4190.5,3780.5,4190.5,4718.5,2842.5,188.5,115.5,2466.5,2498.5,413.5,3675.5,2098.5,3380.5,1421.5,838.5,3417.5,1875.5,1746.0,1717.0,860.5,1665.5,1496.0,1693.0,1731.0,1737.0,1728.0,1732.0,1744.0,1762.0,1723.0,1772.0,1783.0,1789.0,1792.0,1748.0,1787.0,1796.0,1759.5,1748.5,1250.5,1695.0,1768.0,1737.0,1765.0,1768.0,1767.0,1737.5,1744.0,1755.0,1773.0,163.0,1669.5,576.5,166.5,1116.0,1636.0,61.0,892.5,873.0,1626.0,569.5,1450.5,1672.0,331.5,1414.4411764705883
0CF4D52BBB10,55.71820831298828,37.60845184326172,"32, улица Шаболовка, Донской район, Москва, Центральный федеральный округ, 115162, Россия",3198.5,2952.0,3072.5,2571.5,2547.5,3160.5,3923.5,1238.5,2122.0,3672.5,3534.0,3844.5,3154.5,2545.5,1926.5,3805.5,2129.5,2604.5,1454.0,1762.5,1276.5,669.0,503.0,353.0,363.0,450.0,455.0,468.0,503.0,509.0,499.0,496.0,465.0,434.0,458.0,501.0,511.0,613.5,720.5,759.5,1034.0,1183.0,499.0,399.0,432.0,415.5,494.0,618.0,610.0,485.0,580.0,848.0,167.0,1634.5,1591.0,1481.0,1300.0,230.0,1503.5,1548.0,500.0,1736.0,1450.5,193.0,1486.5,879.0882352941177
0CF4D52C5790,55.73060607910156,37.57711410522461,"Главная дорога, Квартал №538, район Хамовники, Москва, Центральный федеральный округ, 119882, Россия",4599.0,4572.0,4567.0,4572.0,4337.0,3999.0,1243.0,3698.0,550.0,1478.0,1498.0,2855.0,303.0,851.0,286.0,1791.0,2753.0,696.0,1703.5,1385.0,1446.5,1301.0,868.0,329.0,450.0,291.0,220.0,197.0,156.0,184.0,239.0,259.0,237.0,355.0,402.0,403.5,459.0,541.5,1016.0,1409.0,1736.0,1285.0,298.5,250.5,303.0,265.0,302.0,524.0,452.0,339.0,776.0,193.0,633.0,7.0,166.5,78.0,1636.0,230.0,340.0,1297.0,1159.5,827.0,93.0,890.0,1486.5,614.8529411764706
EC8CA215F8F0,55.72208404541016,37.60065841674805,"8 сА, Ленинский проспект, район Якиманка, Москва, Центральный федеральный округ, 111991, Россия",2744.0,3339.0,3334.0,3339.0,2956.0,2554.0,726.0,1987.0,3151.0,2178.0,2373.0,4138.0,1044.0,1250.0,2289.0,4172.0,4111.0,2224.0,926.0,1090.0,810.0,756.0,480.5,497.5,522.5,611.0,662.0,661.5,716.0,617.0,581.0,627.0,565.0,685.0,605.5,662.0,670.0,545.0,474.5,588.5,460.0,480.0,607.0,552.0,602.0,621.0,629.0,640.0,597.0,599.0,414.0,1586.0,346.5,1407.0,937.0,1374.0,1300.0,230.0,1503.5,1641.0,1364.0,1552.0,636.5,890.0,1255.5,882.0882352941177
EC8CA20F35C0,55.73754119873047,37.64487838745117,"40-42 с3, Космодамианская набережная, район Замоскворечье, Москва, Центральный федеральный округ, 115035, Россия",3824.0,3873.0,4098.0,3674.0,3768.5,774.0,2913.0,822.0,1302.0,3176.0,896.0,266.0,1666.0,2964.0,1104.0,3545.0,3749.0,1165.0,1237.0,1051.5,936.5,1026.5,1124.0,1067.5,1121.0,1204.5,1124.0,1183.5,1245.0,1133.0,1173.5,1120.5,1128.0,1123.0,1170.0,1187.0,1158.0,1183.0,1070.0,1035.0,1324.0,1305.0,1226.5,1136.0,1160.5,1125.5,1148.0,1066.0,1146.0,1151.0,749.0,1764.0,973.0,1229.0,341.5,1253.0,785.5,1377.0,1503.5,598.5,719.5,827.0,1450.5,890.0,161.5,1082.6764705882354
1CB9C429B930,55.74549102783203,37.56913757324219,"6, Большая Дорогомиловская улица, район Дорогомилово, Москва, Центральный федеральный округ, 121248, Россия",2089.5,2525.5,2876.5,2732.5,3165.5,1926.5,516.5,3354.5,206.5,403.5,221.5,4404.5,2448.5,380.5,3075.5,3044.5,1244.5,2779.5,134.0,148.0,103.0,34.0,175.0,259.5,173.0,141.0,128.0,120.5,166.0,142.0,150.0,149.0,156.0,122.0,128.5,100.0,74.0,61.0,36.0,59.0,73.0,109.5,138.0,215.0,149.0,172.0,156.0,72.0,53.0,115.0,155.0,961.0,304.5,150.5,937.0,466.5,785.5,1530.5,340.0,819.0,1266.0,1336.0,636.5,1525.5,1692.0,487.4705882352941
3420E3178280,55.73977279663086,37.56717300415039,"8, Бережковская набережная, район Дорогомилово, Москва, Центральный федеральный округ, 121059, Россия",2089.5,2525.5,2876.5,2732.5,3165.5,1926.5,516.5,3354.5,206.5,403.5,221.5,4404.5,2448.5,380.5,3075.5,3044.5,1244.5,2779.5,1153.5,1337.0,1088.5,386.5,570.5,588.0,547.0,649.0,710.0,783.5,856.0,868.5,726.5,684.0,784.5,789.5,696.0,734.0,627.0,649.0,672.5,807.5,866.0,1118.0,700.0,646.0,674.0,645.0,701.0,876.0,739.0,707.0,689.0,1099.0,1019.5,1123.5,1591.0,1743.0,785.5,1530.5,340.0,851.0,1589.0,1112.0,636.5,1525.5,1486.5,1011.5
3420E3175590,55.72406005859375,37.61650085449219,"40 к1, Мытная улица, район Якиманка, Москва, Центральный федеральный округ, 115162, Россия",3824.0,3873.0,4098.0,3674.0,3768.5,774.0,2913.0,822.0,1302.0,3176.0,896.0,266.0,1666.0,2964.0,1104.0,3545.0,3749.0,1165.0,1138.5,940.5,622.0,278.0,185.0,230.0,298.0,365.0,352.0,374.5,424.0,466.0,531.5,552.0,705.0,752.0,708.0,725.0,709.0,630.0,630.5,618.0,516.5,642.0,473.0,457.0,466.0,492.0,535.0,510.5,483.0,478.0,636.5,706.0,1063.0,1344.5,937.0,858.0,251.0,1377.0,1503.5,894.0,268.5,1336.0,636.5,193.0,1486.5,696.5588235294117
