ap_mac,lat,lon,Количество_торговля_rank,Количество_бытовые_rank,Количество_общепит_rank,Количество_клубы_rank,Количество_медицина_rank,Выручка_торговля_rank,Прибыль_торговля_rank,Выручка_бытовые_rank,Прибыль_бытовые_rank,Выручка_общепит_rank,Прибыль_общепит_rank,Выручка_клубы_rank,Прибыль_клубы_rank,Выручка_медицина_rank,Прибыль_медицина_rank,barbers_rank,spa_rank,shoes_rank,jewelry_rank,foto_rank,riteil_rank,club_rank,med_rank,vet_rank,stomat_rank,alco_rank,shop_rank,crime_rank,danger_rank,houseprise_rank,houseparenda_rank,money_rank,people_rank,traffic_rank,toilet_rank,trash_rank,metro_rank,taxi_rank,auto_rank,light_rank,video_rank,keep_rank,arenda_rank,ЖКХ_ранг,Соседи_ранг,Условия для детей_ранг,Спорт и отдых_ранг,Магазины_ранг,Транспорт_ранг,Безопасность_ранг,Стоимость жизни_ранг,Чистота_ранг,Экология_ранг,Адрес
8684,55.805827,37.515146,856.0,900.0,835.0,1279.0,862.0,1289.0,288.0,2580.0,1491.0,2226.0,2655.0,868.0,1678.0,2444.0,1689.0,1354.0,988.5,2186.5,1940.5,2537.0,1331.5,1867.0,2050.0,1971.0,255.5,1220.5,2171.5,270.0,1441.5,1101.5,2583.5,1845.0,1642.0,1113.0,205.0,1760.0,429.5,2388.0,2016.5,923.0,1446.5,2388.0,57.0,108.0,34.0,92.0,82.0,90.0,82.0,19.0,46.0,103.0,84.0,"Ленинградский проспект (дублёр), 76А, Москва, Россия"
335,55.716859,37.613063,1504.0,1125.5,1196.0,969.0,929.0,1790.0,2360.0,1144.0,1594.5,2287.0,2344.5,2239.0,2321.0,1664.0,1626.5,2711.5,2341.5,2186.5,762.5,1538.0,1331.5,201.0,1023.0,2645.5,1087.0,1497.5,2525.0,962.0,835.5,1260.0,294.0,1645.0,2364.0,557.0,1312.0,593.5,2083.0,2388.0,789.0,1111.5,1371.5,10.5,1414.0,100.0,14.0,15.0,30.0,53.0,9.0,56.0,48.0,85.0,74.0,"улица Шухова, 14, Москва, Россия"
8658,55.796526,37.486859,541.5,963.5,641.5,808.0,878.5,1971.5,646.5,1395.5,2530.5,1730.5,2078.5,840.5,1453.5,2633.5,2036.5,985.0,2341.5,2686.0,1940.5,632.5,1274.5,2319.5,1023.0,285.5,754.0,1266.0,2328.0,1129.5,2006.0,727.5,754.5,1937.5,652.5,908.0,1312.0,1487.5,183.5,1318.0,2049.5,1488.5,1195.0,986.5,57.0,58.0,89.0,81.0,43.0,93.0,76.0,42.0,72.0,44.0,26.0,"улица Маршала Бирюзова, 31, Москва, Россия"
1591,55.737836,37.562604,673.5,900.0,1054.5,1097.5,1320.5,1084.5,356.5,2052.5,320.5,205.5,196.5,2650.5,1770.5,202.5,2212.5,388.0,988.5,888.0,1940.5,632.5,1986.0,670.0,2050.0,1237.0,1087.0,1916.0,651.0,562.5,1441.5,1395.5,1059.5,1754.5,1760.5,145.0,2289.0,2402.5,429.5,1318.0,1331.0,2601.0,1333.0,2388.0,2656.0,57.0,29.0,110.0,110.0,114.0,69.0,15.0,105.0,65.0,112.0,"Бережковская набережная, 16А, Москва, Россия"
496,55.815413,37.738045,745.5,630.5,478.5,715.5,518.5,600.5,2215.5,1427.5,40.5,265.5,2680.5,693.5,2587.5,2522.5,2722.0,48.5,988.5,888.0,762.5,1538.0,166.0,670.0,2685.5,285.5,1087.0,92.5,886.0,300.5,1441.5,436.0,2035.0,2488.5,717.5,206.0,2289.0,2711.5,629.0,2388.0,1944.5,2628.0,2309.0,986.5,294.5,113.0,104.0,98.0,103.0,66.0,72.0,89.0,89.0,104.0,57.0,"Открытое шоссе, 9 с1, Москва, Россия"
507,55.742007,37.867169,152.5,128.5,228.5,110.5,228.0,1194.5,2796.5,1894.5,2586.5,2388.5,1442.5,2744.0,2536.0,1044.5,2682.0,1814.5,988.5,888.0,2508.0,2036.0,489.5,670.0,259.5,798.5,255.5,292.0,2304.0,725.5,1441.5,54.5,832.5,2702.5,1135.5,213.0,2289.0,5.0,629.0,1318.0,1932.5,2548.5,2241.0,165.5,2656.0,14.0,25.0,5.0,29.0,3.0,33.0,24.0,64.0,31.0,98.0,"Новокосинская улица, 32, Москва, Россия"
533,55.723861,37.610053,1041.0,1377.0,1377.0,1377.0,1171.0,1387.0,506.0,1551.0,2164.0,1318.0,1632.0,2429.0,838.0,788.0,1804.0,1587.0,988.5,888.0,762.5,2373.5,1548.0,670.0,2050.0,2645.5,1087.0,1307.5,1061.5,2657.0,,2493.0,143.0,1139.0,2711.0,221.0,1312.0,1255.0,1169.0,2388.0,1357.0,1317.0,1195.0,986.5,700.0,,,,,,,,,,,"улица Шаболовка, 10 к1, Москва, Россия"
537,55.753301,37.606263,1213.0,1534.0,1958.0,1534.0,1506.0,967.0,2528.0,622.0,192.0,2475.0,566.0,1000.0,1024.0,1512.0,854.0,1587.0,988.5,888.0,762.5,2036.0,2684.5,2717.0,2050.0,1971.0,2818.0,2576.5,581.5,2130.0,,2707.0,2416.0,1502.0,2526.0,525.0,205.0,1409.5,60.0,15.5,1171.5,33.0,126.0,2388.0,2131.5,,,,,,,,,,,"улица Воздвиженка, 10, Москва, Россия"
544,55.712533,37.553226,2581.0,2524.0,2524.0,2524.0,2331.0,2215.0,859.0,2329.0,566.0,759.0,1226.0,1606.0,249.0,503.0,203.0,48.5,988.5,888.0,762.5,632.5,56.0,670.0,1023.0,285.5,1783.5,17.5,12.0,1335.0,412.5,2208.0,1321.0,324.0,941.0,1306.0,2289.0,2772.0,849.5,1318.0,2346.0,1061.0,2612.5,2725.5,2131.5,79.0,18.0,52.0,20.0,111.0,85.0,6.0,42.0,26.0,83.0,"улица Лужники, 24 с19, Москва, Россия"
553,55.624505,37.709093,49.5,119.5,315.0,187.0,307.0,1253.5,2787.5,2730.5,1520.5,2578.5,2078.5,1345.5,2264.5,2452.5,1903.5,506.5,988.5,2186.5,1940.5,632.5,454.5,2820.0,259.5,798.5,255.5,729.5,651.0,30.5,412.5,303.5,1601.5,2643.5,302.5,257.0,2289.0,1724.0,2529.5,2388.0,2188.5,637.5,2612.5,418.5,1414.0,10.0,51.0,11.0,26.0,19.0,59.0,33.0,19.0,10.0,41.0,"Каширское шоссе (дублёр), 80, Москва, Россия"
